Y,V_1,V_2,V_3,V_4,V_5,V_6,V_7,V_8,V_9,V_10,V_11,V_12,V_13,V_14
4,5,1,1,0,1,1,1,2,4,3,2,1,3,A
2,8,1,2,0,2,1,1,4,6,3,2,1,1,P
4,8,2,2,0,2,1,1,3,5,3,3,1,1,Q
1,8,1,2,2,4,2,1,1,1,5,5,1,1,W
4,3,1,1,0,1,1,1,2,5,3,2,1,3,P
4,3,1,1,0,1,1,1,2,5,3,2,1,3,P
3,7,1,1,0,1,1,2,3,4,2,2,1,1,1
4,5,2,2,0,2,1,2,2,2,2,2,1,1,1
4,8,1,1,0,1,1,2,3,6,2,2,1,3,M
3,4,1,1,2,3,1,1,4,4,3,2,1,1,P
4,4,1,1,0,1,1,2,3,4,2,2,1,1,C
4,4,0,1,0,1,1,2,4,6,3,2,1,3,P
4,3,1,1,0,8,1,1,4,5,1,1,2,1,U
3,7,2,1,0,1,1,1,4,4,1,1,1,1,U
4,7,2,2,3,5,2,1,2,1,2,2,1,1,T
1,8,2,2,0,7,1,1,2,4,3,2,2,1,A
4,7,1,2,0,7,1,2,3,2,2,2,2,1,M
4,3,1,1,0,1,1,2,4,6,2,2,2,3,M
4,3,1,1,0,8,1,2,3,3,4,2,2,1,Y
3,8,2,2,0,2,1,1,2,2,1,1,1,1,L
3,5,1,1,0,1,1,2,4,1,3,2,1,1,P
2,7,1,1,0,1,1,1,1,4,2,1,1,1,J
3,8,1,2,1,4,1,1,4,2,3,2,1,3,A
4,2,2,2,3,5,2,2,3,4,4,4,1,3,3
4,4,1,1,0,1,1,1,5,3,3,2,1,1,P
3,8,2,2,0,2,1,1,1,1,2,2,1,1,C
4,8,1,1,0,1,1,2,5,1,2,2,1,1,M
4,8,1,2,0,2,1,1,2,6,5,3,1,1,X
2,8,2,2,0,2,1,2,3,5,4,2,1,1,Y
4,5,1,1,0,1,1,1,2,6,1,4,1,3,6
4,3,0,1,0,8,1,1,1,5,2,2,2,1,V
2,8,2,2,0,2,1,1,2,3,2,2,1,1,V
3,8,2,2,0,2,1,1,1,1,2,2,2,1,C
5,8,1,2,0,7,2,2,2,1,3,1,2,1,O
4,3,1,1,0,1,1,2,2,2,3,1,2,1,N
4,1,1,2,0,7,1,1,3,4,1,1,2,1,U
4,8,2,2,0,2,2,1,1,6,2,3,1,2,D
3,8,2,2,0,2,1,1,2,5,1,1,1,1,U
4,7,2,3,0,6,1,2,3,3,2,4,1,3,K
3,8,2,4,0,6,1,1,2,4,3,2,1,1,P
3,6,1,1,0,8,1,1,1,4,3,1,2,1,O
5,6,0,1,0,1,1,2,3,4,4,4,1,3,3
3,6,1,1,0,1,2,1,2,6,2,2,1,1,E
3,8,2,3,1,5,1,1,3,4,4,2,1,1,Y
4,4,1,3,0,6,1,1,1,2,1,1,2,1,U
3,8,2,2,0,7,1,1,1,3,4,3,2,1,H
4,2,1,2,0,7,1,1,2,3,2,2,2,1,C
3,4,1,1,0,8,1,2,3,6,2,4,2,1,K
3,8,2,2,2,4,2,1,1,5,5,3,1,1,X
4,6,2,2,0,7,2,1,1,4,3,2,2,1,B
4,4,0,1,0,1,1,2,4,6,3,2,1,3,P
4,8,1,2,1,4,2,2,2,3,3,3,1,3,Q
1,7,1,1,1,3,1,2,2,3,1,1,1,3,L
4,8,2,2,0,2,1,1,1,6,3,1,1,1,O
3,7,2,3,3,5,1,1,2,2,3,2,1,1,2
4,6,1,1,2,3,1,2,4,6,2,2,1,3,1
4,1,1,1,0,1,2,2,3,1,2,2,2,1,E
3,2,1,2,0,7,1,1,1,4,2,1,2,1,J
4,8,1,3,0,6,1,2,2,3,3,1,1,3,O
3,8,1,2,0,2,1,2,4,1,2,2,1,3,M
4,4,1,1,0,1,1,1,2,5,3,2,1,3,B
4,4,1,1,0,8,1,1,1,5,2,2,2,1,M
4,7,1,2,0,7,1,1,2,3,2,2,2,1,M
3,8,1,1,0,1,1,1,6,6,2,2,1,1,M
4,7,1,1,0,1,1,2,4,6,3,2,1,3,P
4,7,2,2,0,7,2,1,1,1,5,3,1,3,X
4,1,0,1,0,1,1,2,2,5,4,3,2,1,H
3,8,2,2,1,4,1,1,3,4,3,2,1,1,A
3,8,1,1,0,8,1,1,6,6,3,2,2,1,P
5,3,0,1,0,1,1,2,4,1,4,3,1,3,H
4,8,2,3,0,6,1,1,2,4,2,1,1,1,J
4,5,1,1,0,1,1,1,2,2,3,2,1,1,P
3,8,2,2,0,2,1,1,4,1,2,3,1,1,D
4,4,1,1,0,8,1,1,5,5,3,2,2,1,B
4,5,2,2,0,2,1,2,5,2,3,2,1,3,P
