Y,V_1,V_2,V_3,V_4,V_5,V_6,V_7,V_8,V_9,V_10,V_11,V_12,V_13,V_14,tsWghtP_n
2,7,1,1,0,1,1,2,4,1,2,2,1,1,M,0.91
4,8,1,2,4,5,1,1,1,6,2,2,1,1,V,1.25
3,3,1,1,0,8,1,1,2,4,1,2,2,1,I,0.98
4,4,1,1,0,8,1,1,4,6,3,2,2,1,2,1.69
3,8,2,2,0,2,2,2,3,1,2,4,1,1,K,0.6
3,7,1,2,0,7,1,2,2,1,3,2,2,1,A,1.52
3,4,1,1,0,1,1,1,6,1,3,2,1,1,P,1.63
3,8,2,3,2,5,1,1,1,4,1,1,1,1,L,0.63
3,8,2,2,0,2,1,1,4,1,2,3,1,1,D,0.62
4,6,2,2,2,4,1,1,3,4,2,2,1,1,M,1.04
3,8,2,3,0,6,1,1,3,3,3,3,1,1,G,1.0
4,3,0,1,0,1,1,2,6,4,2,2,1,3,M,1.12
3,8,2,3,0,6,2,1,1,5,5,3,1,1,X,1.12
1,8,1,2,0,2,2,1,1,5,1,3,1,1,Z,0.09
2,8,2,2,0,2,1,1,1,1,2,1,1,1,J,0.72
4,3,1,1,0,8,1,1,2,2,1,3,2,1,Z,0.09
4,7,1,2,0,2,1,1,2,5,2,1,1,1,4,0.85
4,4,1,1,0,1,1,1,3,3,1,1,1,1,U,1.48
4,7,1,1,0,8,2,2,5,3,2,3,1,1,D,0.71
2,4,2,2,2,4,2,1,1,1,4,2,1,3,S,0.41
3,4,1,1,1,3,1,2,3,4,2,2,1,3,E,0.74
1,8,2,4,0,6,2,1,1,6,5,3,1,1,X,1.04
4,6,1,3,0,6,1,1,4,5,2,2,2,3,M,1.12
2,2,1,1,0,8,1,1,4,5,2,2,2,1,V,1.99
2,8,2,2,2,4,1,1,1,1,5,3,1,1,X,0.87
3,7,0,2,0,2,2,1,1,1,1,3,1,1,Z,0.07
4,6,2,2,0,7,1,1,1,4,1,1,1,1,L,0.63
4,8,1,2,0,7,1,2,2,2,3,1,1,1,N,1.38
4,7,1,2,0,7,1,2,5,1,4,4,2,1,3,0.57
4,3,1,1,0,8,1,2,3,1,3,3,2,1,G,0.87
3,3,1,2,0,2,1,1,1,5,3,2,2,3,F,0.43
3,4,1,1,0,1,1,1,2,4,1,1,2,1,U,1.48
3,8,2,2,0,7,1,1,2,1,1,1,2,1,L,0.42
3,6,1,1,0,8,1,1,3,6,4,4,2,1,3,0.62
3,8,1,2,0,2,1,1,7,1,2,2,1,1,M,0.89
3,5,2,2,0,7,2,1,1,4,1,4,2,1,6,0.15
2,8,2,2,0,2,1,2,2,2,3,2,1,1,P,1.53
3,3,1,1,0,1,1,2,4,6,2,2,2,1,M,1.04
4,4,1,1,0,1,1,2,3,4,2,2,1,1,C,1.08
4,7,1,1,0,1,1,2,4,1,2,2,1,3,M,0.91
4,7,2,2,0,7,1,1,1,1,2,2,2,1,M,0.72
3,4,1,2,0,2,1,2,4,1,4,2,1,3,Y,1.53
3,8,2,2,2,4,1,1,1,5,2,2,1,1,M,0.75
3,2,1,1,0,8,1,1,1,4,2,2,2,1,V,1.36
4,8,2,2,0,2,2,1,1,3,5,5,1,1,W,0.11
4,6,1,4,0,2,1,1,1,5,2,2,1,1,C,0.9
3,7,2,2,2,4,2,1,1,6,1,3,1,1,Z,0.08
3,1,1,1,0,8,2,1,2,1,3,3,2,3,G,0.81
4,7,1,1,0,1,1,1,2,3,1,2,1,3,I,0.83
4,8,1,2,0,7,2,2,1,1,2,3,1,3,D,0.45
4,3,1,1,0,8,1,2,5,3,3,2,2,3,P,1.76
4,8,2,2,0,7,1,1,1,4,3,2,1,1,2,1.46
2,8,2,3,0,6,2,1,3,1,4,4,1,1,3,0.55
3,5,1,2,0,7,1,1,2,4,3,2,1,1,2,1.71
3,1,1,2,0,7,1,2,2,6,4,2,2,1,S,0.46
